feats_0,feats_1,feats_2,feats_3,feats_4,feats_5,feats_6,feats_7,feats_8,feats_9,feats_10,feats_11,feats_12,feats_13,feats_14,feats_15,feats_16,feats_17,feats_18,feats_19,feats_20,feats_21,feats_22,feats_23,feats_24,feats_25,feats_26,feats_27,feats_28,feats_29,feats_30,feats_31,feats_32,feats_33,feats_34,feats_35,feats_36,feats_37,feats_38,feats_39,feats_40,feats_41,feats_42,feats_43,feats_44,feats_45,feats_46,feats_47,feats_48,feats_49,feats_50,feats_51,feats_52,feats_53,feats_54,feats_55,feats_56,feats_57,feats_58,feats_59,feats_60,feats_61,feats_62,feats_63,feats_64,feats_65,feats_66,feats_67,feats_68,feats_69,feats_70,feats_71,feats_72,feats_73,feats_74,feats_75,feats_76,feats_77,feats_78,feats_79,feats_80,feats_81,feats_82,feats_83,feats_84,feats_85,feats_86,feats_87,feats_88,feats_89,feats_90,feats_91,feats_92,feats_93,feats_94,feats_95,feats_96,feats_97,feats_98,feats_99,feats_100,feats_101,feats_102,feats_103,feats_104,feats_105,feats_106,feats_107,feats_108,feats_109,feats_110,feats_111,feats_112,feats_113,feats_114,feats_115,feats_116,feats_117,feats_118,feats_119,feats_120,feats_121,feats_122,feats_123,feats_124,feats_125,feats_126,feats_127,feats_128,feats_129,feats_130,feats_131,feats_132,feats_133,feats_134,feats_135,feats_136,feats_137,feats_138,feats_139,feats_140,feats_141,feats_142,feats_143,feats_144,feats_145,feats_146,feats_147,feats_148,feats_149,feats_150,feats_151,feats_152,feats_153,feats_154,feats_155,feats_156,feats_157,feats_158,feats_159,feats_160,feats_161,feats_162,feats_163,feats_164,feats_165,feats_166,feats_167,feats_168,feats_169,feats_170,feats_171,feats_172,feats_173,feats_174,feats_175,feats_176,feats_177,feats_178,feats_179,feats_180,feats_181,feats_182,feats_183,feats_184,feats_185,feats_186,feats_187,feats_188,feats_189,feats_190,feats_191,feats_192,feats_193,feats_194,feats_195,feats_196,feats_197,feats_198,feats_199,feats_200,feats_201,feats_202,feats_203,feats_204,feats_205,feats_206,feats_207,counter-vandalism,fact-update,refactoring,copy-editing,other,wikification,vandalism,simplification,elaboration,verifiability,process,clarification,disambiguation,point-of-view
145369,0.0,0.0,-1.0,0.0,973.0,0.0,40.0,0.0,154.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,0.0,0.0,0.0,17.0,0.0,350.0,350.0,0.0,350.0,350.0,0.0,14.0,14.0,0.0,14.0,14.0,0.0,154.0,154.0,0.0,154.0,154.0,0.0,14.0,14.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,0.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,17.0,17.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,1.0,0.0,350.0,0.0,14.0,0.0,14.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,17.0,0.0,4.0,0.0,13.0,0.0,10.0,0.0,137.0,0.0,10.0,10.0,0.0,137.0,137.0,0.0,10.0,10.0,0.0,137.0,137.0,0.0,147.0,147.0,0.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,1.0,105.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,973.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145370,0.0,0.0,-1.0,1.0,327.0,2.0,8.0,0.0,38.0,0.0,62.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,193.0,2.0,1.0,0.0,12.0,0.0,132.0,133.0,-1.0,48.16450914676721,49.16450914676721,-1.0,2.0,2.0,0.0,1.5,1.5,0.0,38.0,38.0,0.0,2.232258064516129,2.232258064516129,0.0,30.0,30.0,0.0,5.5,5.5,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,43.0,-1.0,27.349675324675324,27.849675324675324,-0.5,1.0,1.0,0.0,1.0,1.0,0.0,12.0,12.0,0.0,4.965909090909091,4.965909090909091,0.0,2.0,2.0,0.0,0.4,0.4,0.0,6.0,1.0,133.0,1.0,2.0,0.0,30.0,0.0,38.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,1.0,0.0,12.0,0.0,2.0,0.0,12.0,4.0,3.0,0.0,40.0,1.0,3.0,3.0,0.0,39.0,40.0,-1.0,0.5428571428571429,0.5428571428571429,0.0,26.80681818181818,27.30681818181818,-0.5,42.0,43.0,-1.0,27.349675324675324,27.849675324675324,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.0,1.0,36.0,0.0,0.5058594248294073,-0.24622724449897482,0.24386567899912748,-1.0,0.0,10.0,0.0,0.0,1.0,2.0,327.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145639,0.0,0.0,-1.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,8.0,8.0,0.0,0.49026918398646147,0.49026918398646147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.010471204188481676,0.010471204188481676,0.0,2.0,2.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.25555555555555554,0.25555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.25555555555555554,0.25555555555555554,0.0,2.0,2.0,0.0,0.25555555555555554,0.25555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,-1.0,0.0,8.0,0.0,0.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159694,0.0,0.0,-1.0,0.0,76.0,75.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.0,0.0,0.0,0.0,1.0,16.0,-15.0,1.8510464340198336,10.806254767353167,-8.955208333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.328125,0.3333333333333333,-0.005208333333333333,2.0,2.0,0.0,0.08695652173913043,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,11.0,-12.0,0.9692982456140342,8.552631578947368,-7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-2.0,0.6666666666666667,1.0,-0.3333333333333333,13.0,11.0,18.0,17.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,-1.0,11.0,-12.0,0.0,0.0,0.0,0.9692982456140342,8.552631578947368,-7.583333333333333,-1.0,11.0,-12.0,0.9692982456140342,8.552631578947368,-7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,-0.16666666666666666,0.0,-0.16666666666666666,14.0,15.0,1.0,0.5900048709920875,-0.15866411611014516,0.16071102346702174,-1.0,0.0,10.0,0.0,0.0,1.0,0.0,76.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
191666,0.0,0.0,-1.0,0.0,495.0,43.0,6.0,0.0,74.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,12.0,0.0,0.0,9.0,1.0,153.0,161.0,-8.0,60.56599264705883,63.56599264705883,-3.0,2.0,2.0,0.0,2.0,2.0,0.0,73.0,73.0,0.0,0.3802083333333333,0.3802083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,0.0,52.81944444444444,52.81944444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.5441176470588236,0.5441176470588236,0.0,2.0,7.0,-5.0,5.0,7.0,-2.0,6.0,7.0,168.0,15.0,2.0,0.0,2.0,2.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,3.0,0.0,0.0,9.0,1.0,7.0,5.0,14.0,0.0,0.0,0.0,74.0,3.0,0.0,0.0,0.0,71.0,71.0,0.0,0.0,0.0,0.0,52.81944444444444,52.81944444444444,0.0,71.0,71.0,0.0,52.81944444444444,52.81944444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.3333333333333333,0.3333333333333333,0.0,8.0,65.0,2.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,495.0,43.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
191677,0.0,0.0,-1.0,0.0,1380.0,1267.0,41.0,37.0,215.0,196.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,952.0,0.0,0.0,23.0,25.0,46.0,81.0,-35.0,23.750269541778977,46.399079065588495,-22.648809523809526,1.0,1.0,0.0,0.5,0.5,0.0,19.0,19.0,0.0,0.07169811320754717,0.07169811320754717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,46.0,-28.0,12.890476190476189,33.63452380952381,-20.74404761904762,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,-4.0,-0.057142857142857134,0.13333333333333333,-0.19047619047619047,0.0,1.0,-1.0,-0.8571428571428572,0.14285714285714285,-1.0,14.0,15.0,499.0,453.0,14.0,13.0,21.0,21.0,215.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,191.0,0.0,0.0,23.0,25.0,7.0,7.0,15.0,0.0,12.0,11.0,197.0,180.0,1.0,1.0,0.0,17.0,45.0,-28.0,0.125,0.125,0.0,12.765476190476189,33.50952380952381,-20.74404761904762,18.0,45.0,-27.0,12.890476190476189,32.63452380952381,-19.74404761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,-1.0,1.0,-2.0,0.7142857142857143,1.0,-0.2857142857142857,161.0,173.0,113.0,1.0000000000000007,-0.33072525973527195,0.20637696782779857,-1.0,0.0,20.0,0.0,3.0,1.0,0.0,1380.0,1267.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
223764,0.0,0.0,-1.0,0.0,76.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,2.0,0.0,25.0,25.0,0.0,13.467352480898462,13.467352480898462,0.0,1.0,1.0,0.0,0.5,0.5,0.0,4.0,4.0,0.0,0.014084507042253521,0.014084507042253521,0.0,2.0,2.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,8.48611111111111,8.48611111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.25882352941176473,0.25882352941176473,0.0,1.0,1.0,0.0,0.125,0.125,0.0,1.0,0.0,25.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,8.48611111111111,8.48611111111111,0.0,11.0,11.0,0.0,8.48611111111111,8.48611111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,-1.0,0.0,23.0,0.0,0.0,1.0,0.0,76.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
223780,0.0,0.0,-1.0,11.0,5722.0,1888.0,101.0,58.0,945.0,279.0,27.0,99.0,0.0,4.0,0.0,0.0,0.0,0.0,4440.0,1379.0,11.0,1.0,122.0,39.0,1374.0,1574.0,-200.0,488.8010101010102,612.1343434343435,-123.33333333333333,27.0,37.0,-10.0,25.666666666666664,34.166666666666664,-8.5,637.0,640.0,-3.0,9.194444444444445,10.194444444444445,-1.0,-40.0,8.0,-48.0,0.6666666666666665,2.6666666666666665,-2.0,-4.0,0.0,-4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,742.0,-115.0,413.4117604617604,513.9117604617604,-100.5,10.0,11.0,-1.0,10.0,11.0,-1.0,83.0,88.0,-5.0,3.8888888888888893,4.888888888888889,-1.0,16.0,16.0,0.0,4.444444444444445,4.444444444444445,0.0,14.0,10.0,2061.0,687.0,46.0,19.0,9.0,49.0,916.0,279.0,0.0,4.0,0.0,0.0,0.0,0.0,906.0,279.0,11.0,1.0,122.0,39.0,21.0,5.0,26.0,13.0,59.0,14.0,847.0,265.0,45.0,45.0,0.0,582.0,697.0,-115.0,21.603174603174605,21.603174603174605,0.0,391.80858585858584,492.30858585858584,-100.5,627.0,735.0,-108.0,408.0784271284271,501.0784271284271,-93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,5.0,40.0,40.0,0.0,11.333333333333332,11.333333333333332,0.0,215.0,677.0,66.0,1.0000000000000007,-0.40127071953562254,0.21000065146736938,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,5722.0,1888.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
223766,0.0,0.0,-1.0,1.0,1920.0,5674.0,61.0,104.0,263.0,916.0,106.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,1421.0,4419.0,1.0,11.0,37.0,120.0,-1346.0,207.0,-1553.0,-222.70037436963213,199.58333333333331,-422.28370770296544,-27.0,10.0,-37.0,-19.166666666666668,9.5,-28.666666666666664,-624.0,3.0,-627.0,-0.6735582154515778,3.0,-3.673558215451578,42.0,50.0,-8.0,49.2,50.0,-0.8,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-614.0,119.0,-733.0,-240.70037395995809,116.66666666666666,-357.36704062662477,-10.0,1.0,-11.0,-7.0,1.0,-8.0,-83.0,5.0,-88.0,3.558728448275862,5.0,-1.441271551724138,-16.0,0.0,-16.0,-1.619047619047619,0.0,-1.619047619047619,24.0,24.0,672.0,2018.0,20.0,47.0,52.0,10.0,263.0,887.0,4.0,0.0,0.0,0.0,0.0,0.0,280.0,894.0,1.0,11.0,37.0,120.0,4.0,20.0,15.0,4.0,11.0,55.0,269.0,839.0,-44.0,0.0,-44.0,-570.0,119.0,-689.0,-9.219999999999999,0.0,-9.219999999999999,-231.4803739599581,116.66666666666666,-348.14704062662474,-614.0,112.0,-726.0,-227.27986113944527,109.16666666666666,-336.44652780611193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,43.0,-39.0,0.0,-39.0,-2.652941176470588,0.0,-2.652941176470588,673.0,223.0,63.0,1.0000000000000007,-0.42719991403687535,0.2048966478442776,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1920.0,5674.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
234104,0.0,0.0,-1.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
