resource,cluster
|imported>Fidel.G|,1
|conversion script|,1
|Maveric149|,[2-5)
Anonymous,+100
|AstroNomo|,1
|Joseaperez|,[50-100)
|Youssefsan|,[2-5)
|Sabbut|,[2-5)
|Gonis|,1
|Frutoseco|,[2-5)
|Moriel|,[2-5)
|Sauron|,1
|Rafael Soriano|,1
|ManuelGR|,[5-10)
|Ruiz|,1
|Hashar|,1
|JorgeGG|,[5-10)
|Template namespace initialisation script|,1
|Dionisio|,1
|Opinador|,[5-10)
|Robotito|,1
|Rocastelo|,1
|Renabot|,[2-5)
|Knowledge Seeker|,1
|Dodo|,[2-5)
|Zwobot|,1
|Rembiapo pohyiete (bot)|,[5-10)
|Wricardoh|,1
|Angus|,[2-5)
|Orgullobot~eswiki|,[2-5)
|Ascánder|,[2-5)
|Rsg|,1
|Chobot|,[2-5)
|Yrbot|,[5-10)
|Palica|,1
|RobotQuistnix|,[2-5)
|Pino|,[5-10)
|Caiserbot|,1
|Aukicha|,1
|Lmsilva|,[2-5)
|YurikBot|,[2-5)
|KnightRider|,[5-10)
|Superzerocool|,[2-5)
|Digigalos|,1
|FlaBot|,[2-5)
|R130|,[2-5)
|Pabloab|,[2-5)
|Xuankar|,[2-5)
|Alhen|,1
|LeCire|,1
|Tabeissan|,1
|Further (bot)|,1
|Edub|,[5-10)
|Tano4595|,[5-10)
|LoquBot|,1
|Drjackzon|,1
|BOTijo|,1
|Omega~eswiki|,1
|Ernesto Graf|,1
|Boticario|,1
|Ciencia Al Poder|,[20-50)
|JMPerez|,1
|Maldoror|,[5-10)
|Martinelli88|,1
|BOT-Superzerocool|,[5-10)
|Sanbec|,[2-5)
|Nadia´|,[5-10)
|Platonides|,[5-10)
|Carlatf|,[2-5)
|Wiki-Bot|,1
|JulianMendez|,1
|Ice-X|,1
|Gonn|,[20-50)
|Julian Mendez|,1
|TolyRogêt|,1
|Mortadelo2005|,1
|Chewie|,1
|AngelHerraez|,[5-10)
|FAR|,[2-5)
|Caspio|,1
|Scuellar|,[2-5)
|Cdelaorden|,1
|Eamezaga|,1
|CEM-bot|,[5-10)
|Eskimbot|,1
|Ronaldo16|,1
|Aleator|,1
|Alejotheo|,1
|Carutsu|,1
|Bradomín|,1
|Kalcetin|,1
|Natrix|,[20-50)
|Icvav|,[2-5)
|Tavo57|,1
|FrancoGG|,[2-5)
|Rakela|,1
|Rjgalindo|,[10-20)
|Baiji|,[5-10)
|TXiKiBoT|,[10-20)
|Diegazo|,1
|Thijs!bot|,[5-10)
|Carlosblh|,1
|Emijrp|,[2-5)
|Alexav8|,[10-20)
|Gothmog|,1
|Roberpl|,1
|Mahadeva|,[2-5)
|Richy|,1
|Airunp|,[2-5)
|Bot-Schafter|,[2-5)
|Basti+10|,1
|Andresflorez~eswiki|,1
|Chabbot|,1
|Muro de Aguas|,[5-10)
|Txo|,1
|BOTpolicia|,[20-50)
|Er Komandante|,1
|Albireo3000|,[10-20)
|Nosce~eswiki|,[2-5)
|Tomatejc|,[2-5)
|Nahimche37|,[5-10)
|.Sergio|,1
|Liquid-aim-bot|,1
|Gabriel Vidal|,1
|Gusgus|,1
|Vitamine|,[2-5)
|C'est moi|,1
|Le K-li|,[5-10)
|Pabloallo|,[2-5)
|AlnoktaBOT|,[2-5)
|Loco085|,1
|Matdrodes|,[50-100)
|Xvazquez|,[5-10)
|YonaBot|,[2-5)
|Retama|,[20-50)
|FANSTARbot|,1
|Jarke|,1
|Jurock|,[5-10)
|Leonudio|,1
|Avivamiento|,1
|BetBot~eswiki|,1
|Millars|,[2-5)
|Ctrl Z|,1
|SieBot|,[5-10)
|Gabriel.jurgens|,1
|Muro Bot|,[10-20)
|Osiris fancy|,1
|Javialacarga|,[2-5)
|Nathy 017|,[2-5)
|Aragofito|,1
|Madaluc|,1
|Drinibot|,[2-5)
|Rei-bot|,1
|Axxgreazz|,1
|Thanos|,1
|Bienchido|,1
|Loveless|,[2-5)
|Paintman|,[2-5)
|Humberto|,[2-5)
|Raystorm|,1
|Manwë|,[2-5)
|Coz~eswiki|,1
|Blitox|,[50-100)
|Santiperez|,[2-5)
|StarBOT|,1
|Machucho2007|,[5-10)
|Sir charlie|,1
|BotMultichill|,[2-5)
|Angelabiotec|,1
|Uaua~eswiki|,1
|JAnDbot|,[2-5)
|Keres|,[2-5)
|Kved|,[2-5)
|Fillbit|,1
|Laura Fiorucci|,[2-5)
|Alvaro qc|,[2-5)
|Beto29|,1
|Pólux|,[5-10)
|DragonBot|,[2-5)
|AlleborgoBot|,[2-5)
|VolkovBot|,[5-10)
|Aibot|,1
|Netito777|,[2-5)
|RoyFocker|,[2-5)
|Carmin|,1
|Isha|,1
|Cobalttempest|,[2-5)
|Rondador|,1
|Djkanarito|,[2-5)
|Javi1977|,[2-5)
|Ralabag|,[5-10)
|Lidoro|,[2-5)
|Jplasti|,1
|Nubecosmica|,[5-10)
|Boku wa kage|,[10-20)
|Fidelmoquegua|,[20-50)
|JMCC1|,1
|BOTarate|,[5-10)
|Lucien leGrey|,[2-5)
|Ad gentes|,[10-20)
|Sophistical|,1
|Alexbot|,[2-5)
|Xsm34|,[2-5)
|Asasia|,[2-5)
|Pedro1267|,[2-5)
|CestBOT|,1
|Delphidius|,[2-5)
|Silvia3|,+100
|Beaire1|,[2-5)
|Deneapol|,[50-100)
|Misigon|,[2-5)
|BotSottile|,1
|Hidoy kukyo|,[2-5)
|R2D2!|,1
|Davichito|,[2-5)
|AVBOT|,[20-50)
|NjardarBot|,1
|Arcibel|,1
|DumZiBoT|,1
|MelancholieBot|,[2-5)
|DorganBot|,1
|CommonsDelinker|,[2-5)
|Ente X|,1
|Apo007|,1
|Vivero|,1
|WikiDreamer Bot|,1
|Jfreyreg|,1
|JFCSvalencia|,1
|David0811|,1
|Idioma-bot|,1
|FariBOT|,1
|Ptbotgourou|,1
|Resped|,1
|JonyTF|,1
|Lluvioso|,[2-5)
|LordboT|,1
|LucienBOT|,[2-5)
|NoCoin|,[2-5)
|Botellín|,1
|Ucevista|,1
|Nuen|,1
|Synthebot|,[5-10)
|Victormoz|,1
|Dangelin5|,1
|Furado|,[2-5)
|Correogsk|,[10-20)
|Yonidebot|,1
|CASF|,[20-50)
|Lauranrg|,[10-20)
|Egaida|,1
|Bigsus|,[5-10)
|Copydays|,[2-5)
|Nallimbot|,1
|Estirabot|,1
|Aaapipoaaa|,1
|MastiBot|,1
|ArthurBot|,1
|Gsrdzl|,[20-50)
|María J. Saldaña|,[2-5)
|Jotterbot|,[2-5)
|Huhsunqu|,1
|PaintBot|,[2-5)
|Camima|,[20-50)
|Lascorz|,1
|Marco Regueira|,1
|TobeBot|,1
|Hhmb|,1
|Bigsus-bot|,[2-5)
|UruguayNS|,1
|Eloy|,1
|Xqbot|,[10-20)
|Thekeko15|,1
|Taichi|,[2-5)
|Rrmsjp|,1
|Diegusjaimes|,[20-50)
|HUB|,[2-5)
|Jordi domenech~eswiki|,[5-10)
|Pan con queso|,1
|Montgomery|,[10-20)
|Eduardosalg|,[20-50)
|Javierito92|,1
|DixonDBot|,1
|Hanibaal|,1
|Manuelt15|,[2-5)
|SilvonenBot|,1
|Josell2|,1
|Hprmedina|,1
|Igna|,[2-5)
|Leugim1972|,[5-10)
|Efren tkd|,1
|SuperBraulio13|,[10-20)
|Eduardofoxx13|,1
|Sbassi|,1
|Archi4J|,1
|Dreitmen|,[2-5)
|King of Hearts|,1
|Alelapenya|,[5-10)
|Tirithel|,[2-5)
|Luckas-bot|,[2-5)
|Expósito|,[10-20)
|BOTrychium|,1
|Kes47|,[2-5)
|Magister Mathematicae|,1
|Jorgeoros|,1
|KamikazeBot|,[2-5)
|Jorge c2010|,1
|Flakinho|,[2-5)
|Antón Francho|,1
|EmausBot|,[5-10)
|SUPUL SINAC|,1
|Oblongo|,[2-5)
|Jkbw|,[20-50)
|Ortisa|,[2-5)
|BuenaGente|,1
|Petruss|,[20-50)
|Jotamarcost|,1
|Pepsi 98|,1
|Poco a poco|,1
|Gerwoman|,1
|Savh|,[2-5)
|Gauri|,[5-10)
|Escarbot|,1
|Yikrazuul|,1
|HRoestBot|,[2-5)
|Technopat|,[20-50)
|Dinamik-bot|,1
|Emiduronte|,[2-5)
|Jorge 2701|,1
|Launch03|,1
|Leonpolanco|,[5-10)
|WikitanvirBot|,[2-5)
|Markius11|,1
|Halfdrag|,1
|Raulshc|,1
|Ricardogpn|,1
|Rafaelkelvin|,[2-5)
|El Moska|,1
|-Erick-|,[5-10)
|Sebrev|,1
|Jcaraballo|,1
|Vicarmando|,1
|Banfield|,1
|Andreasmperu|,1
|Alberto5000|,1
|Angelito7|,[10-20)
|Nklave003|,[2-5)
|Waka Waka|,[2-5)
|RedBot|,[2-5)
|Sessho-akat|,1
|KLBot|,1
|Armando-Martin|,1
|KLBot2|,1
|Born2bgratis|,[2-5)
|Laura Menendez|,[2-5)
|Mel 23|,[2-5)
|Malejaa99|,1
|Sergio Andres Segovia|,[2-5)
|J. A. Gélvez|,[5-10)
|Rubpe19|,[2-5)
|Jorgebarrios|,1
|UA31|,[10-20)
|MercurioMT|,1
|Eroyuela|,1
|Alejandrocaro35|,[5-10)
|Laalia|,1
|Novellón|,[5-10)
|Elvisor|,[2-5)
|JYBot|,1
|Helmy oved|,[5-10)
|Foxharrison|,[2-5)
|DannyPobleteL|,[2-5)
|BOTirithel|,1
|Canyq|,1
|JackieBot|,1
|Arthur 'Two Sheds' Jackson|,1
|Cemeruquin 30|,[2-5)
|Jcfidy|,[10-20)
|Creosota|,1
|Rufflos|,1
|Mpeinadopa|,[2-5)
|MahdiBot|,1
|Gusama Romero|,[50-100)
|Der Künstler|,1
|Zope12345|,1
|Cheveri|,[5-10)
|Quijav|,[2-5)
|VickyMaría|,[2-5)
