page_id,page_title,page_ns,revision_id,timestamp,contributor_id,org:resource,bytes,intentionality
10058,|Ácido desoxirribonucleico|,0,161,2002-01-11T01:06:09Z,0,|imported>Fidel.G|,276,elaboration  
10058,|Ácido desoxirribonucleico|,0,6683,2002-10-23T09:34:14Z,0,|conversion script|,276,"copy-editing,wikification"
10058,|Ácido desoxirribonucleico|,0,6684,2002-10-24T07:20:14Z,7,|Maveric149|,286, 
10058,|Ácido desoxirribonucleico|,0,8788,2002-10-24T07:21:28Z,7,|Maveric149|,342,wikification  
10058,|Ácido desoxirribonucleico|,0,8799,2002-12-21T15:38:01Z,81.56.10.66,Anonymous,351,wikification  
10058,|Ácido desoxirribonucleico|,0,9088,2002-12-22T07:08:00Z,1,|AstroNomo|,350, 
10058,|Ácido desoxirribonucleico|,0,18222,2002-12-30T18:46:28Z,62.234.65.43,Anonymous,360, 
10058,|Ácido desoxirribonucleico|,0,18226,2003-07-15T18:14:42Z,1299,|Joseaperez|,439,elaboration  
10058,|Ácido desoxirribonucleico|,0,18227,2003-07-15T18:21:48Z,1299,|Joseaperez|,705,"wikification,elaboration"
10058,|Ácido desoxirribonucleico|,0,18228,2003-07-15T18:25:36Z,1299,|Joseaperez|,886,verifiability  
10058,|Ácido desoxirribonucleico|,0,18229,2003-07-15T18:29:42Z,1299,|Joseaperez|,1007,"wikification,elaboration"
10058,|Ácido desoxirribonucleico|,0,18344,2003-07-15T18:31:19Z,1299,|Joseaperez|,1008,copy-editing  
10058,|Ácido desoxirribonucleico|,0,18345,2003-07-16T06:19:42Z,1299,|Joseaperez|,1256,"wikification,elaboration"
10058,|Ácido desoxirribonucleico|,0,18411,2003-07-16T06:22:57Z,1299,|Joseaperez|,1489,"wikification,elaboration"
10058,|Ácido desoxirribonucleico|,0,20339,2003-07-16T17:01:42Z,1299,|Joseaperez|,1531,wikification  
10058,|Ácido desoxirribonucleico|,0,21491,2003-07-26T12:17:10Z,1299,|Joseaperez|,1539, 
10058,|Ácido desoxirribonucleico|,0,22120,2003-08-03T17:40:18Z,30,|Youssefsan|,1579,wikification  
10058,|Ácido desoxirribonucleico|,0,26211,2003-08-07T18:05:09Z,30,|Youssefsan|,1617,wikification  
10058,|Ácido desoxirribonucleico|,0,28693,2003-08-14T17:35:10Z,1299,|Joseaperez|,380, 
10058,|Ácido desoxirribonucleico|,0,30453,2003-08-24T21:41:46Z,2075,|Sabbut|,1605,"wikification,elaboration"
