resource,cluster
Anonymous,+100
|-Erick-|,[5-10)
|-antonio-|,1
|-jem-|,1
|-seb-|,1
|.Sergio|,[5-10)
|12345678 deleteduser|,1
|1969|,[2-5)
|2rombos|,1
|2x2leax|,1
|333|,[5-10)
|3coma14|,+100
|4james007|,1
|4lextintor|,[5-10)
|78 789BB|,1
|80 aa NN|,1
|A19kBt|,1
|ACC9620|,[2-5)
|ADEALA|,[2-5)
|AFLastra|,1
|ANTOCAPO|,1
|ASTOROT|,1
|ATD~eswiki|,1
|AVBOT|,+100
|AVIADOR|,[20-50)
|AaRoN2002snb|,[2-5)
|Aaapipoaaa|,1
|Aadrover|,[2-5)
|Aalvarez12|,1
|Aaron Zuñiga|,1
|Abcdefghijklmn~eswiki|,[2-5)
|Abián|,[2-5)
|Aboutstyes|,1
|Abraza2los2|,1
|Acocris|,1
|Acortiz|,[5-10)
|Acratta|,[2-5)
|Ad gentes|,[10-20)
|Adama~eswiki|,[2-5)
|Addbot|,[10-20)
|Addicted04|,1
|Adrian Carmona Atienza|,[2-5)
|Adrian Galan|,1
|Adriansm|,1
|Adrián Hermida|,+100
|Agente47|,[2-5)
|Agustin2004|,[2-5)
|Ahkukulik|,1
|Ahmedd|,[2-5)
|Aibot|,[2-5)
|Airunp|,[5-10)
|Ajmo25|,1
|Aka|,1
|Akhran|,[2-5)
|Al Lemos|,[2-5)
|Alain Prostático|,1
|Alakrano|,1
|Alanmoramoreno|,1
|Albano Barcelona Caballero|,1
|Albeiror24|,[2-5)
|Alberto ECJ|,1
|Alberto Salguero|,[2-5)
|Alberto5000|,1
|Albireo3000|,[10-20)
|AldanaN|,[5-10)
|Aldeb9700|,1
|AleMaster23|,[5-10)
|Aleator|,1
|Alecs.bot|,[2-5)
|Alejandro massa|,1
|Alejandrocaro35|,[50-100)
|Alejithaum|,1
|Alejotheo|,1
|Alelapenya|,[5-10)
|Alemanzzz|,1
|Aleposta|,[2-5)
|Alevántate|,1
|Alex3320|,1
|Alexan|,1
|Alexav8|,[20-50)
|Alexbot|,[5-10)
|Alexcyv37|,1
|Alexia28|,1
|Alezamaj|,1
|AlfaSimon|,[2-5)
|Alfo gtz|,[5-10)
|Alfonso Márquez|,[5-10)
|Alfonsomx1974|,1
|Alfrebui|,1
|Alfredobi|,1
|Alhen|,[10-20)
|Aliman5040|,1
|Allanbot|,1
|AlleborgoBot|,[10-20)
|Allforrous|,[2-5)
|Almabot|,[5-10)
|Almorca|,[2-5)
|AlnoktaBOT|,[5-10)
|Alogausal|,1
|Alonso de Mendoza|,[5-10)
|Alpertron|,[5-10)
|Alpidia|,1
|Alpinu|,[2-5)
|Altorrijos|,[5-10)
|Alvaro qc|,[10-20)
|AlvaroMolina|,1
|Alvaroandresmora2022|,[10-20)
|Alvarosinde|,1
|Alvy|,1
|Amadosanchez|,1
|Amadís|,[5-10)
|Amarill0|,[2-5)
|Amirobot|,[2-5)
|Amontero|,1
|Anagarmol|,1
|Andre Engels|,1
|Andreasmperu|,[2-5)
|Andreoliva|,1
|Andresflorez~eswiki|,1
|Andreshere|,[2-5)
|Andreslopgal3112|,[5-10)
|Andreums|,[2-5)
|Andrés Cortina|,1
|Angel GN|,[2-5)
|Angel Matilla|,[2-5)
|AngelHerraez|,[5-10)
|Angelabiotec|,1
|Angelevyn|,1
|Angelito7|,[10-20)
|AngelitoMagno|,[2-5)
|Angus|,[2-5)
|Ankeko|,1
|Anlistar|,[2-5)
|Annaisvale36|,1
|Antihumano|,[2-5)
|Antonellapalacios|,1
|Antonio Diaz|,[20-50)
|Antonio Pacheco Chacon|,[2-5)
|Antoniomalanga|,1
|Antonorsi|,[5-10)
|Antur|,[5-10)
|Antywiki|,1
|Antón Francho|,[5-10)
|Anubis-mx|,1
|Aparejador|,1
|Aperezdejuan|,1
|Apo007|,1
|Aragofito|,1
|Archi4J|,1
|Arcibel|,1
|Aribera78|,[2-5)
|Ariel1988|,1
|Arjuno3|,[50-100)
|Armando-Martin|,1
|Armonizador|,1
|Arnaugir|,1
|Arrt-932|,[2-5)
|Art08|,1
|Artaris|,[5-10)
|Arthur Two Sheds  Jackson|,1
|ArthurBot|,[5-10)
|Artistadelpecado|,1
|ArwinJ|,1
|Arístides Herrera Cuntti|,[2-5)
|Asasia|,[2-5)
|Ascánder|,[5-10)
|AstaBOTh15|,[10-20)
|AstroNomo|,[10-20)
|Atiko4|,1
|Atila rey|,[5-10)
|AtilaElHuno|,1
|Atiortxuupapitos|,1
|Atlass|,[2-5)
|Atorvast|,1
|Augusto664|,1
|Aukicha|,1
|Austral blizzard|,[2-5)
|Avaya1|,[2-5)
|Ave Fénix|,1
|Avivamiento|,1
|Axel Iks Sousa|,1
|Axel Pesce|,1
|Axelitus|,[2-5)
|Axvolution|,1
|Axxgreazz|,[2-5)
|Azteckeys|,1
|BOGARO-TEC-LEARNING|,1
|BOMBINI|,1
|BOT-Superzerocool|,[20-50)
|BOTarate|,[20-50)
|BOTijo|,[2-5)
|BOTirithel|,1
|BOTpolicia|,[50-100)
|BOTrychium|,1
|BY THE|,[2-5)
|BadBull~eswiki|,[2-5)
|Baiji|,[10-20)
|BallenaBlanca|,[20-50)
|Balles2601|,[10-20)
|Banfield|,[5-10)
|Baquides|,[2-5)
|Barcex|,[2-5)
|Barriu|,[2-5)
|Barú Sanchezpérez|,[2-5)
|Basquetteur|,[10-20)
|Basti+10|,1
|Baute2010|,1
|Beaire1|,[2-5)
|Bedwyr|,[5-10)
|Belb|,[20-50)
