page_id,page_title,page_ns,revision_id,timestamp,contributor_id,org:resource,bytes,intentionality
2730,|Tierra|,0,17329,2003-06-30T13:35:39Z,195.204.127.218,Anonymous,1421,wikification
2730,|Tierra|,0,58132,2003-11-07T02:34:25Z,67.28.17.82,Anonymous,3445,wikification
2730,|Tierra|,0,85502,2003-12-02T01:09:25Z,24.232.250.130,Anonymous,3505,wikification
2730,|Tierra|,0,94929,2004-01-18T20:13:07Z,80.58.23.42,Anonymous,3703,elaboration
2730,|Tierra|,0,101596,2004-02-18T08:49:17Z,24.232.248.135,Anonymous,3744,wikification
2730,|Tierra|,0,113828,2004-02-24T05:03:22Z,200.70.72.238,Anonymous,4036,
2730,|Tierra|,0,119659,2004-03-16T13:56:05Z,83.154.170.139,Anonymous,4083,wikification
2730,|Tierra|,0,128803,2004-03-31T02:03:43Z,24.232.248.135,Anonymous,3684,wikification
2730,|Tierra|,0,220660,2004-08-08T05:34:50Z,200.76.234.134,Anonymous,4602,"wikification,elaboration"
2730,|Tierra|,0,370394,2004-11-30T03:37:05Z,200.58.74.212,Anonymous,5453,copy-editing
2730,|Tierra|,0,418899,2004-12-20T22:44:07Z,80.102.164.190,Anonymous,5452,
2730,|Tierra|,0,498496,2005-02-24T16:50:32Z,200.3.94.200,Anonymous,13358,copy-editing
2730,|Tierra|,0,507955,2005-03-03T17:01:40Z,200.87.128.82,Anonymous,13369,wikification
2730,|Tierra|,0,525521,2005-03-08T16:30:38Z,195.145.160.203,Anonymous,13366,
2730,|Tierra|,0,525524,2005-03-15T13:58:27Z,196.40.86.188,Anonymous,13366,vandalism
2730,|Tierra|,0,533282,2005-03-15T14:01:33Z,196.40.86.188,Anonymous,13366,copy-editing
2730,|Tierra|,0,555442,2005-03-21T00:27:49Z,80.58.12.170,Anonymous,13363,wikification
2730,|Tierra|,0,555447,2005-04-02T13:52:32Z,62.83.171.42,Anonymous,13364,fact-update
2730,|Tierra|,0,581107,2005-04-02T13:57:00Z,62.83.171.42,Anonymous,13364,
2730,|Tierra|,0,722796,2005-05-26T09:58:28Z,216.239.65.249,Anonymous,15746,vandalism
