resource,cluster
|Bradfield|,1
|Pec|,1
|AFLastra|,1
|conversion script|,1
|Maveric149|,[2-5)
|AstroNomo|,[5-10)
|ILVI|,1
|Qubit|,1
Anonymous,+100
|Joseaperez|,[5-10)
|Moriel|,[5-10)
|ManuelGR|,[2-5)
|Julie|,[2-5)
|Cantus|,1
|Sabbut|,[2-5)
|Interwiki|,1
|Template namespace initialisation script|,1
|Dionisio|,1
|Comae|,[2-5)
|Triku|,1
|Zwobot|,1
|Aparejador|,1
|Dodo|,[5-10)
|Stitch~eswiki|,[2-5)
|Carlos Quesada~eswiki|,1
|Sanbec|,1
|Sms|,1
|Hashar|,1
|Xenoforme|,[5-10)
|Cookie|,[2-5)
|Renabot|,[2-5)
|Xgarciaf|,[10-20)
|Kordas|,[2-5)
|Pati|,1
|Poniol60|,1
|Luis marchant|,1
|Txuspe|,1
|Manuel González Olaechea y Franco|,1
|Gengiskanhg|,[2-5)
|Wricardoh|,[10-20)
|Tico~eswiki|,[2-5)
|Kokoo|,[2-5)
|Robbot|,[5-10)
|Changcho|,[2-5)
|Yrbot|,[5-10)
|Chobot|,[2-5)
|RobotQuistnix|,[5-10)
|Arístides Herrera Cuntti|,[2-5)
|Vaguilar0110|,1
|Emijrp|,[5-10)
|Rembiapo pohyiete (bot)|,1
|Mortadelo2005|,[2-5)
|Rosarino|,[10-20)
|Lourdes Cardenal|,1
|Icvav|,1
|Robotito|,1
|LeonardoRob0t|,1
|Maldoror|,[5-10)
|Martinwilke1980|,[2-5)
|Sigmanexus6|,[2-5)
|BOTijo|,1
|Paintman|,[5-10)
|.Sergio|,1
|Manuel Piñero|,1
|Ascánder|,1
|Alhen|,[2-5)
|LP|,1
|Ejmeza|,1
|Miguel303xm|,[5-10)
|RafaGS|,1
|Tano4595|,[20-50)
|YurikBot|,[10-20)
|Deleatur|,[2-5)
|Alberto Salguero|,[2-5)
|BOT-Superzerocool|,[2-5)
|Nida|,1
|Rosarinagazo|,[2-5)
|Escarapela|,1
|Jynus|,1
|Eloy|,[2-5)
|Nanow jesús madrid|,[2-5)
|Ricardo gs|,1
|CEM-bot|,[5-10)
|FAR|,[2-5)
|Fev|,[5-10)
|Barcex|,1
|Ninovolador|,1
|RobotJcb|,1
|Anagarmol|,1
|FrancoGG|,[5-10)
|Yamaneko|,1
|Niko guti2006|,[2-5)
|Noan|,[2-5)
|Wmagudelo|,[5-10)
|Beto29|,[2-5)
|Sr Beethoven|,[2-5)
|Damifb|,[5-10)
|Gaeddal|,1
|Antur|,[5-10)
|Isha|,[2-5)
|Nerk~eswiki|,[2-5)
|Limbo@MX|,1
|Thanos|,[2-5)
|Stars~eswiki|,[2-5)
