page_id,page_title,page_ns,revision_id,timestamp,contributor_id,org:resource,bytes,intentionality
2730,|Tierra|,0,5697,2001-10-28T02:18:21Z,4850042,|Bradfield|,637,"wikification,elaboration"
2730,|Tierra|,0,5698,2002-03-21T01:42:29Z,4850063,|Pec|,747,"wikification,elaboration"
2730,|Tierra|,0,5699,2002-05-13T18:29:18Z,43,|AFLastra|,1081,"wikification,elaboration"
2730,|Tierra|,0,6809,2002-10-23T09:34:53Z,0,|conversion script|,1060,wikification
2730,|Tierra|,0,6810,2002-10-26T04:55:08Z,7,|Maveric149|,1055,wikification
2730,|Tierra|,0,7068,2002-10-26T04:57:07Z,7,|Maveric149|,1128,wikification
2730,|Tierra|,0,14048,2003-03-22T23:27:37Z,638,|ILVI|,1081,wikification
2730,|Tierra|,0,16267,2003-05-11T05:54:31Z,992,|Qubit|,1408,elaboration
2730,|Tierra|,0,63730,2003-11-21T18:46:50Z,4082,|ManuelGR|,3462,"fact-update,wikification"
2730,|Tierra|,0,101612,2004-02-24T02:29:53Z,4293,|Julie|,4026,"wikification,elaboration"
2730,|Tierra|,0,101680,2004-02-24T02:38:08Z,4293,|Julie|,4032,wikification
2730,|Tierra|,0,123386,2004-03-25T04:18:56Z,7484,|Cantus|,3534,wikification
2730,|Tierra|,0,139603,2004-04-06T10:27:06Z,2075,|Sabbut|,3625,wikification
2730,|Tierra|,0,139604,2004-04-25T10:01:34Z,2075,|Sabbut|,3233,process
2730,|Tierra|,0,153506,2004-04-25T10:02:16Z,2075,|Sabbut|,3233,copy-editing
2730,|Tierra|,0,164892,2004-05-19T22:53:32Z,13031,|Interwiki|,3358,wikification
2730,|Tierra|,0,175754,2004-06-05T05:47:30Z,0,|Template namespace initialisation script|,3217,
2730,|Tierra|,0,192487,2004-06-24T21:22:31Z,8862,|Dionisio|,3244,wikification
2730,|Tierra|,0,202017,2004-07-16T01:53:29Z,9305,|Comae|,3762,"wikification,elaboration"
2730,|Tierra|,0,205511,2004-07-27T08:46:11Z,14570,|Triku|,3760,copy-editing
2730,|Tierra|,0,211543,2004-07-31T19:20:19Z,8547,|Zwobot|,3777,wikification
2730,|Tierra|,0,245911,2004-08-19T00:03:15Z,7971,|Aparejador|,4663,"wikification,elaboration"
2730,|Tierra|,0,250440,2004-09-12T09:36:20Z,17480,|Stitch~eswiki|,4661,copy-editing
